order,ftol,maxiter,error_mean,error_std,time_mean,time_std
20,0.1,100,0.15279768356385304,0.02084578141376775,0.02694858915834542,0.003492851861111229
20,0.1,100,0.14482587657729704,0.017162920790133734,0.026888683169002992,0.0034280343260443946
20,0.1,100,0.14637288480808802,0.014625843331979494,0.02689786689228801,0.0034081353346065396
20,0.1,100,0.14698335979539476,0.012984958326000228,0.026870421622038246,0.003349340175124922
20,0.1,100,0.14660104353372455,0.011828079701734858,0.026873850167156703,0.003324864003346375
20,0.1,100,0.1474021888558555,0.01125909319287894,0.026875508537732934,0.003279286336058898
20,0.1,100,0.14685801081444172,0.010693657286504139,0.026866938816239215,0.0032701540319998155
20,0.1,100,0.14782705933469645,0.011663581179626067,0.026865742584488476,0.0032639849257578317
20,0.1,100,0.1447951248701238,0.025153193579792475,0.026868039350632523,0.0032487039947153985
20,0.1,100,0.1443052858485322,0.02395389787806262,0.026867838468716806,0.0032523625458826546
20,0.1,100,0.1442134864374222,0.026439150296535627,0.026865424174174812,0.0032404658230495488
20,0.1,100,0.14367132892521492,0.025414582358415455,0.026867942244981426,0.003254081932116627
20,0.1,300,0.15279768356385304,0.02084578141376775,0.026900595076471925,0.0035638084410949005
20,0.1,300,0.14482587657729704,0.017162920790133734,0.026648886210049492,0.002549012935542937
20,0.1,300,0.14637288480808802,0.014625843331979494,0.026568922539611895,0.0020851108717582674
20,0.1,300,0.14698335979539476,0.012984958326000228,0.02655080897194973,0.0018180572963906376
20,0.1,300,0.14660104353372455,0.011828079701734858,0.02651559462748378,0.0016292923776556362
20,0.1,300,0.1474021888558555,0.01125909319287894,0.026500596717209463,0.001496489761922492
20,0.1,300,0.14685801081444172,0.010693657286504139,0.0264829593725028,0.0013863187903577626
20,0.1,300,0.14782705933469645,0.011663581179626067,0.026470816220123185,0.001305343868078044
20,0.1,300,0.1447951248701238,0.025153193579792475,0.026461028560018602,0.0012315136229375443
20,0.1,300,0.1443052858485322,0.02395389787806262,0.026454333343868514,0.0011754912689839823
20,0.1,300,0.1442134864374222,0.026439150296535627,0.026444958712648587,0.0011223795980228786
20,0.1,300,0.14367132892521492,0.025414582358415455,0.026437248492306734,0.0010749943918053262
20,0.01,100,0.011652463869880362,0.0031619813164923075,0.0524381507995976,0.0020101831926060995
20,0.01,100,0.01155771445976447,0.003284226392954086,0.05261657970497407,0.001457924701692193
20,0.01,100,0.011967825832965519,0.0031847136254013614,0.05270099952577587,0.001200890581926859
20,0.01,100,0.012077358426328438,0.0032603715197987173,0.05271758256390332,0.0010614362035050188
20,0.01,100,0.012041819165422088,0.003144329180141465,0.052736543841570255,0.0009700402138821628
20,0.01,100,0.01208920970441984,0.003222968009903204,0.05274257240779548,0.0009023439264797931
20,0.01,100,0.012112944342347458,0.003306173257173633,0.052764509684324466,0.0008521076418875308
20,0.01,100,0.012152153017021453,0.0032916191046823934,0.05276986708617713,0.000952318808091334
20,0.01,100,0.012087661629799467,0.0033506714270841787,0.052363929409817996,0.002490028059294217
20,0.01,100,0.012031244330721051,0.00333966749559335,0.052413154191460955,0.002367381931334431
20,0.01,100,0.01201084523384552,0.0033426842073779237,0.05230567665099445,0.0026186536798370854
20,0.01,100,0.011955922951929687,0.003344073937904146,0.052350419212551604,0.0025149551421553154
20,0.01,300,0.011652463869880362,0.0031619813164923075,0.05255605726985328,0.0020573743759399955
20,0.01,300,0.01155771445976447,0.003284226392954086,0.05268925649439355,0.0014990417816447572
20,0.01,300,0.011967825832965519,0.0031847136254013614,0.05271262919388143,0.0012464409113120748
20,0.01,300,0.012077358426328438,0.0032603715197987173,0.05272644045145576,0.0010983895893607737
20,0.01,300,0.012041819165422088,0.003144329180141465,0.05274337976722114,0.0010006497507566263
20,0.01,300,0.01208920970441984,0.003222968009903204,0.05277159630160135,0.000931603892178103
20,0.01,300,0.012112944342347458,0.003306173257173633,0.05277545130755528,0.0008645863406035681
20,0.01,300,0.012152153017021453,0.0032916191046823934,0.052777560551213215,0.0009630239926990407
20,0.01,300,0.012087661629799467,0.0033506714270841787,0.05236177624438901,0.0025066428911627546
20,0.01,300,0.012031244330721051,0.00333966749559335,0.05241383591060897,0.0023836196560612934
20,0.01,300,0.01201084523384552,0.0033426842073779237,0.05232099779276636,0.0026298362759128303
20,0.01,300,0.011955922951929687,0.003344073937904146,0.05236137548581245,0.002524668765037167
40,0.1,100,0.15163707886206135,0.020791998442125308,0.09069144202912428,0.0005862575583598584
40,0.1,100,0.14407106622070853,0.01694256382437732,0.09061140976621802,0.00044619042015356093
40,0.1,100,0.1456017715021214,0.014444217591164295,0.090701718010517,0.0005337985646144902
