Metabolite,LCM Shapiro,Pred Shapiro,Kendall τ,Spearman ρ,Pearson r
NAA,0.958 (0.044),0.949 (0.016),0.054 (0.550),0.078 (0.561),0.034 (0.799)
PCh+GPC,0.967 (0.111),0.959 (0.049),0.147 (0.104),0.223 (0.092),0.246 (0.062)
Glu+Gln,0.963 (0.072),0.950 (0.018),0.290 (0.001),0.411 (0.001),0.394 (0.002)
