Metabolite,LCM Shapiro Stat,LCM Shapiro P,Pred Shapiro Stat,Pred Shapiro P,Kendall Tau,Kendall P,Spearman Rho,Spearman P,Pearson R,Pearson P
NAA,0.9581425894641049,0.04361514882193882,0.8909962739190017,8.18966371599282e-05,-0.06840194957794862,0.4484291202995212,-0.08167220380386939,0.5422086937712409,-0.08768408691634795,0.5127847307474415
PCh+GPC,0.9666592749160569,0.11107901625470973,0.8679673432784891,1.4480372318189608e-05,-0.03283716712935821,0.7170675277049597,-0.048154589050964626,0.7196254361601904,-0.007136271323333245,0.9575998203096984
Glu+Gln,0.962693218776969,0.07178859159782736,0.8547896765714549,5.768904221671423e-06,-0.008472012490679673,0.925177539390232,0.005014073242975833,0.9702019545659605,-0.0037863890949918905,0.9774957486745384
