Metabolite,LCM Shapiro,Pred Shapiro,Kendall τ,Spearman ρ,Pearson r
NAA,0.958 (0.044),0.924 (0.001),0.071 (0.433),0.118 (0.379),0.098 (0.466)
PCh+GPC,0.967 (0.111),0.924 (0.001),-0.030 (0.737),-0.071 (0.596),-0.060 (0.656)
Glu+Gln,0.963 (0.072),0.924 (0.001),-0.080 (0.376),-0.132 (0.324),-0.114 (0.393)
